,name,slug,country,whiskybase_whiskies,whiskybase_votes,whiskybase_rating
72,Daftmill Distillery,daftmill,Scotland,4,271,88.4
73,Daill,daill,Scotland,0,0,0.0
74,Dailuaine,dailuaine,Scotland,1145,13935,85.31
75,Dalaruan Distillery,dalaruan,Scotland,6,10,78.34
76,Dalintober Distillery,dalintober,Scotland,0,0,0.0
77,Dallas Dhu,dallas_dhu,Scotland,359,2829,87.88
78,Dalmore,dalmore,Scotland,929,16241,85.58
79,Dalmunach,dalmunach,Scotland,66,473,84.88
80,Dalwhinnie,dalwhinnie,Scotland,206,7181,83.6
81,Deanston,deanston,Scotland,567,16397,85.35
82,Dornoch,dornoch,Scotland,1,0,0.0
83,Dornoch Distillery,dornoch,Scotland,26,235,84.91
84,Drumore Distillery,drumore,Scotland,0,0,0.0
85,Dufftown,dufftown,Scotland,505,6310,84.25
86,Dumbarton,dumbarton,Scotland,120,940,86.24
87,Dundashill,dundashill,Scotland,1,0,0.0
88,Eden Mill,eden_mill,Scotland,45,322,83.19
89,Edradour,edradour,Scotland,1702,25109,84.85
90,Eigashima Shuzo,eigashima_shuzo,Japan,151,1176,83.03
91,Falkirk Distillery Company,falkirk__company,Scotland,1,1,82.0
92,Fettercairn,fettercairn,Scotland,696,8003,84.46
93,Fuji Gotemba,fuji_gotemba,Japan,105,499,84.35
94,Fukano Distillery,fukano,Japan,13,7,81.93
95,Garnheath,garnheath,Scotland,38,378,87.23
96,Gartbreck Distillery,gartbreck,Scotland,0,0,0.0
97,Girvan,girvan,Scotland,312,2705,84.42
98,Glen Albyn,glen_albyn,Scotland,197,1676,87.74
99,Glenallachie,glenallachie,Scotland,1185,27236,85.86
100,Glenburgie,glenburgie,Scotland,910,11905,86.2
101,Glencadam,glencadam,Scotland,510,7556,85.88
102,Glendronach,glendronach,Scotland,1683,73902,88.04
103,Glendullan,glendullan,Scotland,344,4406,84.11
104,Glen Elgin,glen_elgin,Scotland,789,12195,86.14
105,Glenesk,glenesk,Scotland,103,1429,87.01
106,Glenfarclas,glenfarclas,Scotland,2546,56875,87.8
107,Glenfiddich,glenfiddich,Scotland,1433,29246,84.82
108,Glen Flagler,glen_flagler,Scotland,43,394,83.79
109,Glenfoyle,glenfoyle,Scotland,1,0,0.0
110,Glenfyne (Glendarroch Glenglip),glenfyne_(glendarroch_glenglip),Scotland,1,8,91.33
111,Glen Garioch,glen_garioch,Scotland,961,17643,85.91
112,Glenglassaugh,glenglassaugh,Scotland,640,15920,87.23
113,Glengoyne,glengoyne,Scotland,1122,26112,86.11
114,Glen Grant,glen_grant,Scotland,1972,24003,87.1
115,Glengyle (Kilkerran),kilkerran,Scotland,166,9473,85.71
116,Glen Keith,glen_keith,Scotland,646,11656,86.9
117,Glenkinchie,glenkinchie,Scotland,203,4924,83.42
118,Glenlivet,glenlivet,Scotland,2489,32678,86.18
119,Glenlochy,glenlochy,Scotland,119,1771,89.91
120,Glenlossie,glenlossie,Scotland,748,8838,86.19
121,Glen Mhor,glen_mhor,Scotland,248,2480,87.19
122,Glenmorangie,glenmorangie,Scotland,1024,32148,85.0
123,Glen Moray,glen_moray,Scotland,1633,18624,85.47
124,Glen Nevis Distillery,glen_nevis,Scotland,0,0,0.0
125,Glen Ord,glen_ord,Scotland,555,7596,85.37
126,Glenramskill Distillery,glenramskill,Scotland,0,0,0.0
127,Glenrothes,glenrothes,Scotland,2032,28355,86.28
128,Glen Scotia,glen_scotia,Scotland,1116,20238,85.58
129,Glenside Distillery,glenside,Scotland,0,0,0.0
130,Glen Spey,glen_spey,Scotland,402,3743,84.34
131,Glentauchers,glentauchers,Scotland,1046,11425,85.89
132,Glenturret,glenturret,Scotland,772,9274,85.65
133,Glenugie,glenugie,Scotland,134,1561,89.23
134,Glenury Royal,glenury_royal,Scotland,122,2569,88.98
135,GlenWyvis Distillery,glenwyvis,Scotland,6,106,83.97
136,Gyokusendo Shuzo,gyokusendo_shuzo,Japan,2,1,78.0
137,Hakushu,hakushu,Japan,221,3307,87.46
138,Hanyu,hanyu,Japan,205,3527,87.91
